"","Zipcode","AGI_bin","Returns","AGI","Tot_income","mean_agi","mean_total"
"3318",11788,"",8900,964661,975351,108.388876404494,109.59
"3326",11789,"",3810,285100,287313,74.8293963254593,75.4102362204724
"3334",11790,"",6900,891752,899890,129.239420289855,130.41884057971
"3342",11791,"",12110,2802399,2848025,231.411973575557,235.179603633361
"3350",11792,"",4400,468447,474373,106.465227272727,107.812045454545
"3358",11793,"",16910,1808479,1826070,106.947309284447,107.987581312833
"3366",11795,"",13260,1397613,1412435,105.400678733032,106.518476621418
"3374",11796,"",1950,176324,177789,90.4225641025641,91.1738461538462
"3382",11797,"",4900,1396441,1424504,284.987959183673,290.715102040816
"3390",11798,"",8820,409585,412030,46.43820861678,46.7154195011338
"3398",11801,"",22670,1595674,1609893,70.3870313189237,71.0142479047199
"3406",11803,"",14670,2281437,2315350,155.51717791411,157.828902522154
"3414",11804,"",2510,351203,356697,139.921513944223,142.110358565737
"3422",11901,"",13480,753227,760994,55.8773738872404,56.4535608308605
"3430",11933,"",3560,310067,313317,87.0974719101124,88.010393258427
"3438",11934,"",4150,379048,383286,91.3368674698795,92.3580722891566
"3446",11935,"",1890,234671,238478,124.16455026455,126.178835978836
"3454",11937,"",8940,1248671,1274043,139.672371364653,142.510402684564
"3462",11939,"",530,59143,59952,111.590566037736,113.116981132075
"3470",11940,"",2810,298930,302531,106.380782918149,107.662277580071
"3478",11941,"",1440,139017,140662,96.5395833333333,97.6819444444444
"3486",11942,"",2620,280672,285856,107.126717557252,109.10534351145
"3494",11944,"",2320,194346,196860,83.7698275862069,84.8534482758621
"3502",11946,"",7670,558512,567025,72.8177314211213,73.9276401564537
"3510",11948,"",660,68161,69193,103.274242424242,104.837878787879
"3518",11949,"",7540,673678,680288,89.3472148541114,90.2238726790451
"3526",11950,"",7930,413905,416623,52.1948297604035,52.537578814628
"3534",11951,"",6550,335899,338245,51.2822900763359,51.6404580152672
"3542",11952,"",2630,283720,287408,107.878326996198,109.280608365019
"3550",11953,"",6970,450901,454054,64.6916786226686,65.1440459110473
"3558",11954,"",2670,249055,254514,93.2790262172285,95.323595505618
"3566",11955,"",1740,122252,123537,70.2597701149425,70.998275862069
"3574",11957,"",420,64751,66200,154.169047619048,157.619047619048
"3582",11958,"",440,40926,42052,93.0136363636364,95.5727272727273
"3590",11961,"",7220,502864,506421,69.6487534626039,70.1414127423823
"3598",11963,"",4050,694323,707854,171.437777777778,174.778765432099
"3606",11967,"",13150,786617,791633,59.818783269962,60.2002281368821
"3614",11968,"",5380,841743,858519,156.45780669145,159.576022304833
"3622",11971,"",3040,311229,316168,102.377960526316,104.002631578947
"3630",11976,"",1060,281727,288201,265.780188679245,271.887735849057
"3638",11977,"",1390,172666,176120,124.220143884892,126.705035971223
"3646",11978,"",1970,231906,236250,117.718781725888,119.92385786802
"3654",11980,"",2600,208711,210582,80.2734615384615,80.9930769230769
"3662",12007,"",100,6853,6853,68.53,68.53
"3670",12008,"",230,19320,19445,84,84.5434782608696
"3678",12009,"",3850,354609,358993,92.1062337662338,93.2449350649351
"3686",12010,"",13530,708235,714922,52.3455284552846,52.839763488544
"3694",12015,"",1670,131427,133048,78.6988023952096,79.6694610778443
"3702",12017,"",180,14614,14707,81.1888888888889,81.7055555555555
"3710",12018,"",4000,318467,322319,79.61675,80.57975
"3718",12019,"",8070,748517,757100,92.7530359355638,93.816604708798
"3726",12020,"",17160,1278939,1292635,74.5302447552448,75.32837995338
"3734",12022,"",420,23663,23774,56.3404761904762,56.6047619047619
"3742",12023,"",980,64378,64985,65.6918367346939,66.3112244897959
"3750",12025,"",2710,168579,170180,62.2062730627306,62.7970479704797
"3758",12027,"",2100,184691,186552,87.9480952380952,88.8342857142857
"3766",12028,"",580,32831,33080,56.6051724137931,57.0344827586207
"3774",12029,"",530,56542,57225,106.683018867925,107.971698113208
"3782",12032,"",490,28758,28997,58.6897959183673,59.1775510204082
"3790",12033,"",4140,325360,328338,78.5893719806763,79.3086956521739
"3798",12035,"",400,19723,19825,49.3075,49.5625
"3806",12037,"",1850,120784,122889,65.2886486486486,66.4264864864865
"3814",12041,"",270,18195,18311,67.3888888888889,67.8185185185185
"3822",12042,"",220,11476,11496,52.1636363636364,52.2545454545455
"3830",12043,"",3240,182152,184101,56.2197530864198,56.8212962962963
"3838",12046,"",350,22898,23000,65.4228571428571,65.7142857142857
"3846",12047,"",11030,684666,691558,62.0730734360834,62.6979147778785
"3854",12051,"",1820,108978,109925,59.878021978022,60.3983516483516
"3862",12052,"",780,50866,51123,65.2128205128205,65.5423076923077
"3870",12053,"",2250,165300,166944,73.4666666666667,74.1973333333333
"3878",12054,"",9030,944732,961123,104.621483942414,106.43665559247
"3886",12056,"",1160,89519,90454,77.1715517241379,77.9775862068965
"3894",12057,"",750,43269,43747,57.692,58.3293333333333
"3902",12058,"",690,40021,40203,58.0014492753623,58.2652173913043
"3910",12059,"",810,56848,57137,70.1827160493827,70.5395061728395
"3918",12060,"",660,66649,67814,100.983333333333,102.748484848485
"3926",12061,"",5060,438557,443402,86.6713438735178,87.6288537549407
"3934",12062,"",840,56844,57231,67.6714285714286,68.1321428571429
"3942",12063,"",280,29085,29280,103.875,104.571428571429
"3950",12064,"",210,8993,9024,42.8238095238095,42.9714285714286
"3958",12065,"",22890,2000715,2024837,87.4056356487549,88.4594582787243
"3966",12066,"",970,60184,60893,62.0453608247423,62.7762886597938
"3974",12067,"",790,63354,64129,80.1949367088608,81.1759493670886
"3982",12068,"",1330,71820,72498,54,54.5097744360902
"3990",12070,"",680,47682,48104,70.1205882352941,70.7411764705882
"3998",12071,"",140,6058,6083,43.2714285714286,43.45
"4006",12072,"",1210,68157,68663,56.3280991735537,56.7462809917355
"4014",12074,"",1560,106418,107430,68.2166666666667,68.8653846153846
"4022",12075,"",1520,123521,125625,81.2638157894737,82.6480263157895
"4030",12076,"",550,31978,32146,58.1418181818182,58.4472727272727
"4038",12077,"",3370,348454,353752,103.39881305638,104.970919881306
"4046",12078,"",9880,473314,477440,47.9062753036437,48.3238866396761
"4054",12083,"",1880,120098,121372,63.881914893617,64.5595744680851
"4062",12084,"",2330,198349,200479,85.1283261802575,86.0424892703863
"4070",12085,"",170,7382,7397,43.4235294117647,43.5117647058824
"4078",12086,"",950,57265,57688,60.2789473684211,60.7242105263158
"4086",12087,"",640,38134,38417,59.584375,60.0265625
"4094",12090,"",2780,155201,156550,55.8276978417266,56.3129496402878
"4102",12092,"",560,28862,29041,51.5392857142857,51.8589285714286
"4110",12093,"",690,35067,35269,50.8217391304348,51.1144927536232
"4118",12094,"",1160,70511,70986,60.7853448275862,61.1948275862069
"4126",12095,"",5590,293092,295547,52.4314847942755,52.8706618962433
"4134",12106,"",1340,112238,113642,83.7597014925373,84.8074626865672
"4142",12108,"",230,12380,12492,53.8260869565217,54.3130434782609
"4150",12110,"",10360,866467,876448,83.6358108108108,84.5992277992278
"4158",12116,"",810,42101,42515,51.9765432098765,52.4876543209877
"4166",12117,"",1540,84109,84700,54.6162337662338,55
"4174",12118,"",8330,633006,638084,75.9911164465786,76.6007202881152
"4182",12120,"",270,16846,16937,62.3925925925926,62.7296296296296
"4190",12121,"",960,72235,72977,75.2447916666667,76.0177083333333
"4198",12122,"",1920,102581,103564,53.4276041666667,53.9395833333333
"4206",12123,"",2630,189635,191682,72.1045627376426,72.8828897338403
"4214",12125,"",750,44058,44429,58.744,59.2386666666667
"4222",12130,"",520,28814,28999,55.4115384615385,55.7673076923077
"4230",12131,"",100,5239,5239,52.39,52.39
"4238",12134,"",1800,111398,112690,61.8877777777778,62.6055555555556
"4246",12136,"",410,48458,49534,118.190243902439,120.814634146341
"4254",12137,"",870,55635,56000,63.948275862069,64.367816091954
"4262",12138,"",1420,84085,84811,59.2147887323944,59.7260563380282
"4270",12139,"",120,7891,7891,65.7583333333333,65.7583333333333
"4278",12140,"",890,67682,68139,76.047191011236,76.5606741573034
"4286",12143,"",2490,145277,146239,58.3441767068273,58.7305220883534
"4294",12144,"",10970,710443,715939,64.7623518687329,65.263354603464
"4302",12147,"",290,20085,20302,69.2586206896552,70.0068965517241
"4310",12148,"",2480,290747,294644,117.236693548387,118.808064516129
"4318",12149,"",1040,51922,52269,49.925,50.2586538461538
"4326",12150,"",450,26825,27006,59.6111111111111,60.0133333333333
"4334",12151,"",500,39227,39715,78.454,79.43
"4342",12153,"",470,34965,35264,74.3936170212766,75.0297872340426
"4350",12154,"",1470,100991,101988,68.7013605442177,69.3795918367347
"4358",12155,"",780,36557,37053,46.8679487179487,47.5038461538462
"4366",12156,"",450,33257,33632,73.9044444444445,74.7377777777778
"4374",12157,"",1900,119573,120457,62.9331578947368,63.3984210526316
"4382",12158,"",3230,246916,249381,76.4445820433437,77.2077399380805
"4390",12159,"",4450,638859,649625,143.563820224719,145.983146067416
"4398",12160,"",420,25756,25883,61.3238095238095,61.6261904761905
"4406",12164,"",260,14966,15097,57.5615384615385,58.0653846153846
"4414",12165,"",200,21857,22380,109.285,111.9
"4422",12166,"",650,32019,32254,49.26,49.6215384615385
"4430",12167,"",1060,53388,53986,50.3660377358491,50.9301886792453
"4438",12168,"",880,54775,55227,62.2443181818182,62.7579545454545
"4446",12169,"",190,11701,11785,61.5842105263158,62.0263157894737
"4454",12170,"",2580,179071,180947,69.4073643410853,70.134496124031
"4462",12173,"",810,49429,50150,61.0234567901235,61.9135802469136
"4470",12175,"",360,19995,20111,55.5416666666667,55.8638888888889
"4478",12176,"",130,8202,8230,63.0923076923077,63.3076923076923
"4486",12180,"",24000,1358130,1373327,56.58875,57.2219583333333
"4494",12182,"",7200,363271,365769,50.4543055555556,50.80125
"4502",12183,"",1370,59588,59873,43.4948905109489,43.7029197080292
"4510",12184,"",3430,261025,264916,76.100583090379,77.2349854227405
"4518",12185,"",950,63153,63643,66.4768421052632,66.9926315789474
"4526",12186,"",3420,344058,349293,100.601754385965,102.132456140351
"4534",12187,"",370,20923,21051,56.5486486486487,56.8945945945946
"4542",12188,"",5970,408942,412826,68.4994974874372,69.1500837520938
"4550",12189,"",9420,539814,544506,57.3050955414013,57.8031847133758
"4558",12190,"",340,18286,18389,53.7823529411765,54.0852941176471
"4566",12192,"",730,41964,42320,57.4849315068493,57.972602739726
"4574",12193,"",1020,68890,69381,67.5392156862745,68.0205882352941
"4582",12196,"",1580,127883,129076,80.9386075949367,81.6936708860759
"4590",12197,"",980,53570,54056,54.6632653061224,55.1591836734694
"4598",12198,"",4080,314324,317941,77.0401960784314,77.9267156862745
"4606",12202,"",4290,132641,133480,30.918648018648,31.1142191142191
"4614",12203,"",13600,1042616,1054145,76.6629411764706,77.5106617647059
"4622",12204,"",3960,289282,293349,73.0510101010101,74.0780303030303
"4630",12205,"",15010,912934,921128,60.8217188540973,61.3676215856096
"4638",12206,"",7000,242414,244094,34.6305714285714,34.8705714285714
"4646",12207,"",860,40409,40723,46.9872093023256,47.3523255813953
"4654",12208,"",10150,642467,650315,63.2972413793103,64.0704433497537
"4662",12209,"",5260,259399,261217,49.3153992395437,49.6610266159696
"4670",12210,"",4790,208006,210543,43.4250521920668,43.9546972860125
"4678",12211,"",6100,897586,910557,147.145245901639,149.271639344262
"4686",12302,"",14380,1041634,1051773,72.4363004172462,73.1413769123783
"4694",12303,"",15160,1007583,1017604,66.4632585751979,67.1242744063325
"4702",12304,"",10390,477039,480959,45.9132820019249,46.2905678537055
"4710",12305,"",2210,107157,108136,48.4873303167421,48.9303167420814
"4718",12306,"",14150,840586,847277,59.405371024735,59.8782332155477
"4726",12307,"",2960,73333,73677,24.7746621621622,24.8908783783784
"4734",12308,"",6320,277596,279939,43.923417721519,44.2941455696203
"4742",12309,"",15520,1594635,1616023,102.747100515464,104.125193298969
"4750",12401,"",16450,957139,969988,58.1847416413374,58.9658358662614
"4758",12404,"",1690,127868,130151,75.6615384615385,77.012426035503
"4766",12405,"",320,16768,16867,52.4,52.709375
"4774",12406,"",310,14966,15188,48.2774193548387,48.9935483870968
"4782",12407,"",130,6456,6486,49.6615384615385,49.8923076923077
"4790",12409,"",500,50034,51731,100.068,103.462
"4798",12410,"",150,11889,12022,79.26,80.1466666666667
"4806",12411,"",270,16394,16478,60.7185185185185,61.0296296296296
"4814",12412,"",320,19951,20117,62.346875,62.865625
"4822",12413,"",1450,69723,70331,48.0848275862069,48.5041379310345
"4830",12414,"",4770,257226,260186,53.925786163522,54.5463312368973
"4838",12418,"",250,15255,15344,61.02,61.376
"4846",12419,"",330,24633,24961,74.6454545454545,75.6393939393939
"4854",12421,"",160,13847,13964,86.54375,87.275
"4862",12422,"",140,7956,8017,56.8285714285714,57.2642857142857
"4870",12423,"",500,25890,26065,51.78,52.13
"4878",12424,"",110,6357,6386,57.7909090909091,58.0545454545455
"4886",12427,"",210,10013,10030,47.6809523809524,47.7619047619048
"4894",12428,"",2660,127854,128822,48.0654135338346,48.4293233082707
"4902",12430,"",450,24975,25330,55.5,56.2888888888889
"4910",12431,"",710,43961,44324,61.9169014084507,62.4281690140845
"4918",12433,"",200,16474,16742,82.37,83.71
"4926",12434,"",320,13334,13451,41.66875,42.034375
"4934",12435,"",160,9813,9857,61.33125,61.60625
"4942",12439,"",200,11845,11897,59.225,59.485
"4950",12440,"",970,70025,71253,72.1907216494845,73.4567010309278
"4958",12442,"",460,27328,27640,59.4086956521739,60.0869565217391
"4966",12443,"",2030,175210,177496,86.3103448275862,87.4364532019704
"4974",12444,"",140,10736,10787,76.6857142857143,77.05
"4982",12446,"",2250,135755,137543,60.3355555555556,61.1302222222222
"4990",12448,"",120,11913,11991,99.275,99.925
"4998",12449,"",1640,89951,90634,54.8481707317073,55.2646341463415
"5006",12451,"",850,46633,47048,54.8623529411765,55.3505882352941
"5014",12454,"",100,6181,6273,61.81,62.73
"5022",12455,"",750,40015,40644,53.3533333333333,54.192
"5030",12456,"",410,19024,19103,46.4,46.5926829268293
"5038",12457,"",320,22228,22957,69.4625,71.740625
"5046",12458,"",1060,54690,55116,51.5943396226415,51.9962264150943
"5054",12460,"",150,8140,8170,54.2666666666667,54.4666666666667
"5062",12461,"",790,61905,62990,78.3607594936709,79.7341772151899
"5070",12463,"",750,47991,48481,63.988,64.6413333333333
"5078",12464,"",450,27278,27677,60.6177777777778,61.5044444444444
"5086",12465,"",100,4915,4955,49.15,49.55
"5094",12466,"",1550,99173,100024,63.9825806451613,64.5316129032258
"5102",12468,"",510,24554,24770,48.1450980392157,48.5686274509804
"5110",12469,"",320,18683,18807,58.384375,58.771875
"5118",12470,"",240,11497,11545,47.9041666666667,48.1041666666667
"5126",12472,"",850,46230,46756,54.3882352941176,55.0070588235294
"5134",12473,"",470,26734,26905,56.8808510638298,57.2446808510638
"5142",12474,"",530,35519,35946,67.0169811320755,67.822641509434
"5150",12477,"",9000,556871,563880,61.8745555555556,62.6533333333333
"5158",12480,"",280,14811,15023,52.8964285714286,53.6535714285714
"5166",12481,"",680,52037,52588,76.525,77.3352941176471
"5174",12482,"",330,13218,13270,40.0545454545455,40.2121212121212
"5182",12484,"",1440,135121,137136,93.8340277777778,95.2333333333333
"5190",12485,"",500,26373,26788,52.746,53.576
"5198",12486,"",780,52346,52769,67.1102564102564,67.6525641025641
"5206",12487,"",1500,105964,106904,70.6426666666667,71.2693333333333
"5214",12491,"",1000,68569,70137,68.569,70.137
"5222",12492,"",100,8000,8053,80,80.53
"5230",12494,"",320,22753,23099,71.103125,72.184375
"5238",12495,"",140,12539,12876,89.5642857142857,91.9714285714286
"5246",12496,"",690,46563,47504,67.4826086956522,68.8463768115942
"5254",12498,"",2300,251320,256720,109.269565217391,111.617391304348
"5262",12501,"",980,77190,78378,78.765306122449,79.9775510204082
"5270",12502,"",490,34361,34884,70.1244897959184,71.1918367346939
"5278",12503,"",300,27057,27253,90.19,90.8433333333333
"5286",12508,"",8950,613417,621930,68.5382122905028,69.4893854748603
"5294",12513,"",580,46466,47517,80.1137931034483,81.9258620689655
"5302",12514,"",1400,141110,143002,100.792857142857,102.144285714286
"5310",12515,"",850,47335,47675,55.6882352941176,56.0882352941176
"5318",12516,"",760,48566,49469,63.9026315789474,65.0907894736842
"5326",12517,"",200,15206,15305,76.03,76.525
"5334",12518,"",3090,279091,282078,90.32071197411,91.2873786407767
"5342",12520,"",1690,178597,181444,105.678698224852,107.363313609467
"5350",12521,"",740,54932,55704,74.2324324324324,75.2756756756757
"5358",12522,"",2250,139170,140458,61.8533333333333,62.4257777777778
"5366",12523,"",920,54961,55606,59.7402173913043,60.4413043478261
"5374",12524,"",8180,662506,669090,80.9909535452323,81.7958435207824
"5382",12525,"",1790,147420,149476,82.3575418994413,83.5061452513966
"5390",12526,"",1810,147597,150375,81.5453038674033,83.0801104972376
"5398",12528,"",7030,491939,496648,69.9770981507824,70.6469416785206
"5406",12529,"",1190,106471,108136,89.4714285714286,90.8705882352941
"5414",12531,"",1610,152684,154415,94.8347826086956,95.9099378881988
"5422",12533,"",13110,1321835,1336239,100.826468344775,101.925171624714
"5430",12534,"",7740,456439,462863,58.9714470284238,59.8014211886305
"5438",12538,"",6790,467664,472742,68.8754050073638,69.6232695139912
"5446",12540,"",3850,412141,417774,107.04961038961,108.512727272727
"5454",12542,"",2970,219931,221957,74.0508417508418,74.7329966329966
"5462",12543,"",1650,89392,89988,54.1769696969697,54.5381818181818
"5470",12545,"",2200,344301,348632,156.500454545455,158.469090909091
"5478",12546,"",1380,104934,106774,76.0391304347826,77.3724637681159
"5486",12547,"",1570,116936,117744,74.4815286624204,74.996178343949
"5494",12548,"",790,51219,51516,64.8341772151899,65.2101265822785
"5502",12549,"",5280,447168,452415,84.6909090909091,85.6846590909091
"5510",12550,"",26240,1606298,1621303,61.215625,61.7874618902439
"5518",12553,"",13500,922938,930229,68.3657777777778,68.9058518518518
"5526",12561,"",7340,634289,647255,86.4153950953678,88.1818801089918
"5534",12563,"",3650,282996,286126,77.5331506849315,78.3906849315069
"5542",12564,"",3600,328139,332400,91.1497222222222,92.3333333333333
"5550",12565,"",740,36637,37145,49.5094594594595,50.1959459459459
"5558",12566,"",5300,379206,382975,71.5483018867925,72.2594339622642
"5566",12567,"",1250,103049,104446,82.4392,83.5568
"5574",12569,"",5150,447231,452363,86.8409708737864,87.8374757281553
"5582",12570,"",3490,351802,355245,100.802865329513,101.789398280802
"5590",12571,"",4660,406648,413490,87.2635193133047,88.7317596566524
"5598",12572,"",4550,637467,648070,140.102637362637,142.432967032967
"5606",12575,"",1190,109711,110903,92.1941176470588,93.1957983193277
"5614",12577,"",1070,94575,95403,88.3878504672897,89.1616822429907
"5622",12578,"",1140,108858,109954,95.4894736842105,96.4508771929825
"5630",12580,"",1870,166112,168184,88.8299465240642,89.9379679144385
"5638",12581,"",1040,88546,89709,85.1403846153846,86.2586538461538
"5646",12582,"",2330,217946,220267,93.5390557939914,94.5351931330472
"5654",12583,"",1060,76216,77648,71.9018867924528,73.2528301886792
"5662",12585,"",440,40596,41231,92.2636363636364,93.7068181818182
"5670",12586,"",6250,417686,421583,66.82976,67.45328
"5678",12589,"",7060,494937,499918,70.1043909348442,70.8099150141643
"5686",12590,"",18890,1436975,1448797,76.0706723133933,76.6965060878772
"5694",12592,"",540,33546,33871,62.1222222222222,62.7240740740741
"5702",12594,"",2000,132630,133786,66.315,66.893
"5710",12601,"",18470,977516,988364,52.9245262587981,53.5118570655116
"5718",12603,"",21440,1696470,1714142,79.1263992537313,79.9506529850746
"5726",12701,"",4910,218507,220907,44.5024439918534,44.9912423625255
"5734",12719,"",430,26401,26647,61.3976744186047,61.9697674418605
"5742",12720,"",100,12850,12883,128.5,128.83
"5750",12721,"",3010,197159,199027,65.5013289036545,66.121926910299
"5758",12723,"",750,47634,48248,63.512,64.3306666666667
"5766",12725,"",130,8602,8693,66.1692307692308,66.8692307692308
"5774",12726,"",450,29582,29953,65.7377777777778,66.5622222222222
"5782",12729,"",810,45276,45520,55.8962962962963,56.1975308641975
"5790",12732,"",380,27703,27930,72.9026315789474,73.5
"5798",12733,"",250,10448,10553,41.792,42.212
"5806",12734,"",520,27262,27402,52.4269230769231,52.6961538461538
"5814",12737,"",830,54572,54977,65.7493975903614,66.2373493975904
"5822",12738,"",110,5454,5454,49.5818181818182,49.5818181818182
"5830",12740,"",890,60687,61411,68.1876404494382,69.0011235955056
"5838",12741,"",140,6730,6756,48.0714285714286,48.2571428571429
"5846",12742,"",160,7194,7248,44.9625,45.3
"5854",12743,"",150,9609,9661,64.06,64.4066666666667
"5862",12746,"",560,29622,29862,52.8964285714286,53.325
"5870",12747,"",770,41481,41955,53.8714285714286,54.487012987013
"5878",12748,"",890,59692,60338,67.0696629213483,67.7955056179775
"5886",12751,"",450,17518,17637,38.9288888888889,39.1933333333333
"5894",12752,"",150,8930,9007,59.5333333333333,60.0466666666667
"5902",12754,"",2890,139044,139984,48.1121107266436,48.4373702422145
"5910",12758,"",1800,105093,106023,58.385,58.9016666666667
"5918",12759,"",690,25522,25670,36.9884057971014,37.2028985507246
"5926",12760,"",190,11813,11865,62.1736842105263,62.4473684210526
"5934",12762,"",250,13007,13089,52.028,52.356
"5942",12763,"",370,19476,19602,52.6378378378378,52.9783783783784
"5950",12764,"",750,46876,47423,62.5013333333333,63.2306666666667
"5958",12765,"",440,29581,29729,67.2295454545455,67.5659090909091
"5966",12766,"",170,7638,7673,44.9294117647059,45.1352941176471
"5974",12768,"",450,25239,25384,56.0866666666667,56.4088888888889
"5982",12771,"",6310,351433,354408,55.6946117274168,56.1660855784469
"5990",12775,"",1320,101957,103526,77.2401515151515,78.4287878787879
"5998",12776,"",820,51364,51855,62.6390243902439,63.2378048780488
"6006",12777,"",360,28466,28709,79.0722222222222,79.7472222222222
"6014",12779,"",1030,52846,53316,51.3067961165049,51.7631067961165
"6022",12780,"",1160,72472,72995,62.4758620689655,62.926724137931
"6030",12783,"",570,31954,32196,56.059649122807,56.4842105263158
"6038",12786,"",290,22955,23091,79.1551724137931,79.6241379310345
"6046",12787,"",210,12040,12109,57.3333333333333,57.6619047619048
"6054",12788,"",920,57834,58159,62.8630434782609,63.2163043478261
"6062",12789,"",800,41894,42192,52.3675,52.74
"6070",12790,"",2280,138986,140280,60.9587719298246,61.5263157894737
"6078",12791,"",330,20296,20392,61.5030303030303,61.7939393939394
"6086",12792,"",190,12310,12400,64.7894736842105,65.2631578947368
"6094",12801,"",7580,379497,383857,50.0655672823219,50.640765171504
"6102",12803,"",4550,234628,236614,51.5665934065934,52.0030769230769
"6110",12804,"",13940,1014024,1028412,72.742037302726,73.774175035868
"6118",12808,"",170,15001,15001,88.2411764705882,88.2411764705882
"6126",12809,"",1610,90395,91512,56.1459627329193,56.839751552795
"6134",12810,"",310,14591,14662,47.0677419354839,47.2967741935484
"6142",12814,"",880,66853,67953,75.9693181818182,77.2193181818182
"6150",12815,"",490,31681,31931,64.6551020408163,65.165306122449
"6158",12816,"",2070,121213,122888,58.5570048309179,59.3661835748792
"6166",12817,"",1180,71609,72351,60.685593220339,61.314406779661
"6174",12819,"",150,6039,6058,40.26,40.3866666666667
"6182",12821,"",140,6679,6695,47.7071428571429,47.8214285714286
"6190",12822,"",2880,147309,148440,51.1489583333333,51.5416666666667
"6198",12823,"",150,9609,9673,64.06,64.4866666666667
"6206",12824,"",440,35035,35576,79.625,80.8545454545455
"6214",12827,"",1890,101880,103393,53.9047619047619,54.705291005291
"6222",12828,"",4720,244572,246493,51.8161016949153,52.223093220339
"6230",12831,"",8810,704777,713052,79.9973893303065,80.9366628830874
"6238",12832,"",2780,139607,140775,50.218345323741,50.6384892086331
"6246",12833,"",2270,224155,226740,98.7466960352423,99.8854625550661
"6254",12834,"",3240,200233,202718,61.8003086419753,62.5672839506173
"6262",12835,"",1260,70488,71113,55.9428571428571,56.4388888888889
"6270",12836,"",290,18220,18287,62.8275862068966,63.0586206896552
"6278",12837,"",350,16763,16908,47.8942857142857,48.3085714285714
"6286",12838,"",330,14624,14698,44.3151515151515,44.5393939393939
"6294",12839,"",6430,293618,296183,45.6637636080871,46.0626749611198
"6302",12842,"",590,30775,31024,52.1610169491525,52.5830508474576
"6310",12843,"",260,14303,14335,55.0115384615385,55.1346153846154
"6318",12844,"",130,16164,16300,124.338461538462,125.384615384615
"6326",12845,"",2650,197239,200633,74.4298113207547,75.7105660377358
"6334",12846,"",1590,87861,88618,55.2584905660377,55.7345911949686
"6342",12847,"",350,21353,21620,61.0085714285714,61.7714285714286
"6350",12849,"",280,15307,15446,54.6678571428571,55.1642857142857
"6358",12850,"",1390,111590,112825,80.2805755395683,81.1690647482014
"6366",12851,"",150,6452,6452,43.0133333333333,43.0133333333333
"6374",12852,"",200,11257,11322,56.285,56.61
"6382",12853,"",640,30575,30947,47.7734375,48.3546875
"6390",12855,"",110,5439,5439,49.4454545454545,49.4454545454545
"6398",12857,"",260,13416,13537,51.6,52.0653846153846
"6406",12859,"",1000,61811,62304,61.811,62.304
"6414",12860,"",370,15330,15435,41.4324324324324,41.7162162162162
"6422",12861,"",280,20530,20567,73.3214285714286,73.4535714285714
"6430",12863,"",370,27209,27327,73.5378378378378,73.8567567567568
"6438",12865,"",1650,90204,91109,54.6690909090909,55.2175757575758
"6446",12866,"",20150,4856017,4896099,240.993399503722,242.982580645161
"6454",12870,"",810,46196,46895,57.0320987654321,57.8950617283951
"6462",12871,"",1990,123334,124732,61.9768844221106,62.6793969849246
"6470",12873,"",390,22747,22963,58.325641025641,58.8794871794872
"6478",12878,"",310,13991,14060,45.1322580645161,45.3548387096774
"6486",12883,"",2260,115761,116517,51.2216814159292,51.5561946902655
"6494",12885,"",2160,101051,101988,46.7828703703704,47.2166666666667
"6502",12886,"",110,6439,6456,58.5363636363636,58.6909090909091
"6510",12887,"",2150,105654,106400,49.1413953488372,49.4883720930233
"6518",12901,"",14340,815882,825855,56.8955369595537,57.5910041841004
"6526",12903,"",910,60974,61329,67.0043956043956,67.3945054945055
"6534",12910,"",750,36656,36878,48.8746666666667,49.1706666666667
"6542",12912,"",990,48411,48770,48.9,49.2626262626263
"6550",12913,"",550,29328,29625,53.3236363636364,53.8636363636364
"6558",12914,"",340,14925,14980,43.8970588235294,44.0588235294118
"6566",12916,"",950,43327,43660,45.6073684210526,45.9578947368421
"6574",12917,"",600,28481,28625,47.4683333333333,47.7083333333333
"6582",12918,"",1170,67232,67837,57.4632478632479,57.9803418803419
"6590",12919,"",1600,83691,84462,52.306875,52.78875
"6598",12920,"",1050,57442,57806,54.7066666666667,55.0533333333333
"6606",12921,"",1270,80886,81871,63.6897637795276,64.4653543307087
"6614",12923,"",240,10741,10780,44.7541666666667,44.9166666666667
"6622",12926,"",890,38358,38618,43.0988764044944,43.3910112359551
"6630",12928,"",920,46835,47096,50.9076086956522,51.1913043478261
"6638",12930,"",310,13834,13884,44.6258064516129,44.7870967741936
"6646",12932,"",640,37893,38245,59.2078125,59.7578125
"6654",12934,"",420,20552,20662,48.9333333333333,49.1952380952381
"6662",12935,"",680,35249,35443,51.8367647058824,52.1220588235294
"6670",12936,"",320,18986,19214,59.33125,60.04375
"6678",12937,"",590,25614,25785,43.4135593220339,43.7033898305085
"6686",12941,"",660,38638,39168,58.5424242424242,59.3454545454545
"6694",12942,"",320,32120,32561,100.375,101.753125
"6702",12943,"",220,12784,13003,58.1090909090909,59.1045454545455
"6710",12944,"",1860,91064,91860,48.9591397849462,49.3870967741936
"6718",12945,"",330,19404,19595,58.8,59.3787878787879
"6726",12946,"",2780,199589,204369,71.7946043165468,73.5140287769784
"6734",12950,"",400,17044,17167,42.61,42.9175
"6742",12952,"",240,11414,11443,47.5583333333333,47.6791666666667
"6750",12953,"",4760,248267,250568,52.1569327731092,52.6403361344538
"6758",12955,"",170,7383,7419,43.4294117647059,43.6411764705882
"6766",12956,"",530,24492,24615,46.211320754717,46.4433962264151
