"","Zipcode","AGI_bin","Returns","AGI","Tot_income","mean_agi","mean_total"
"646",10473,"",28790,1203457,1209861,41.8012156998958,42.0236540465439
"654",10474,"",4980,155708,156747,31.2666666666667,31.4753012048193
"662",10475,"",22930,1153512,1158426,50.3058002616659,50.5201046663759
"670",10501,"",690,111607,113509,161.749275362319,164.505797101449
"678",10502,"",2860,568085,576804,198.631118881119,201.67972027972
"686",10504,"",4170,1946517,1978018,466.790647482014,474.3448441247
"694",10505,"",810,103648,105284,127.96049382716,129.98024691358
"702",10506,"",2790,1212840,1235064,434.709677419355,442.675268817204
"710",10507,"",2640,648922,656084,245.803787878788,248.516666666667
"718",10509,"",10040,930991,942346,92.728187250996,93.8591633466135
"726",10510,"",4800,1470198,1497906,306.29125,312.06375
"734",10511,"",1160,97558,98078,84.101724137931,84.55
"742",10512,"",12700,1173165,1185526,92.3751968503937,93.3485039370079
"750",10514,"",5440,2714858,2764653,499.054779411765,508.208272058824
"758",10516,"",2720,368557,374830,135.498897058824,137.805147058824
"766",10518,"",720,135066,137592,187.591666666667,191.1
"774",10520,"",6360,930108,944388,146.243396226415,148.488679245283
"782",10522,"",5360,919988,936227,171.639552238806,174.66921641791
"790",10523,"",4960,395481,399205,79.7340725806452,80.4848790322581
"798",10524,"",2130,336619,343297,158.037089201878,161.172300469484
"806",10526,"",980,162336,166149,165.648979591837,169.539795918367
"814",10527,"",450,84297,85228,187.326666666667,189.395555555556
"822",10528,"",5980,1745733,1766443,291.928595317726,295.391806020067
"830",10530,"",7220,1027856,1042120,142.362326869806,144.337950138504
"838",10532,"",2550,277918,280720,108.987450980392,110.086274509804
"846",10533,"",3700,1083935,1105273,292.955405405405,298.722432432432
"854",10535,"",370,26068,26284,70.4540540540541,71.0378378378378
"862",10536,"",5130,1582461,1605858,308.471929824561,313.032748538012
"870",10537,"",1260,87175,87937,69.1865079365079,69.7912698412698
"878",10538,"",8120,3738612,3800978,460.420197044335,468.100738916256
"886",10541,"",12910,1274374,1287013,98.7121611154144,99.6911696359411
"894",10543,"",9860,1964432,1992835,199.232454361055,202.1130831643
"902",10546,"",690,153328,156236,222.214492753623,226.428985507246
"910",10547,"",3640,328020,331388,90.1153846153846,91.0406593406593
"918",10548,"",1660,146648,148249,88.3421686746988,89.3066265060241
"926",10549,"",8330,1797542,1824366,215.791356542617,219.011524609844
"934",10550,"",19710,829407,834744,42.0805175038052,42.3512937595129
"942",10552,"",11190,909028,917854,81.235746201966,82.0244861483467
"950",10553,"",5970,316952,318676,53.0907872696817,53.3795644891122
"958",10560,"",2200,465545,474012,211.611363636364,215.46
"966",10562,"",16100,1494035,1515449,92.7972049689441,94.1272670807453
"974",10566,"",12500,748125,755119,59.85,60.40952
